species,loc,year,size,biomass,consumption
Largemouth bass,Stonewall Jackson Lake,1989,16750,6501,19000
Walleye,Sparkling Lake,1982,823,38,97
Walleye,Sparkling Lake,1983,492,25,334
Walleye,Lake Mendota,1987,13449,5323,12110
Walleye,Lake Mendota,1989,25097,9393,26520
Northern pike,Lake Mendota,1987,1314,1778,4500
Northern pike,Lake Mendota,1989,13065,9193,42800
Largemouth bass,Lake Mendota,1987,2112,1594,5030
Largemouth bass,Lake Mendota,1989,2112,1594,4300
Striped bass,Norris Reservoir,1996,96901,192418,719836
Walleye,Western Lake Erie,1986,478300000,29044870,94300000
Walleye,Western Lake Erie,1987,142200000,18982645,83700000
Walleye,Western Lake Erie,1988,89800000,19943975,86000000
Cutthroat trout,Bear Lake,1993,30845,16322,47265
Lake trout,Bear Lake,1993,15738,36596,46420
Atlantic salmon,Lake Superior,1989,159255,38262,114080
Chinook salmon,Lake Superior,1989,598777,230992,752100
Coho salmon,Lake Superior,1989,187500,86750,376300
Kamloops trout,Lake Superior,1989,176709,116675,512000
Steelhead,Lake Superior,1989,32412,18834,101810
Lake trout,Lake Superior,1989,2731766,982284,2838900
Lake trout,Flaming Gorge Reservoir,1990,120600,258935,331000
Black crappie,Spirit Lake,1995,7735,1077,4040
Black crappie,Spirit Lake,1996,14841,2159,6887
Black crappie,Spirit Lake,1997,5889,681,2500
Largemouth bass,Spirit Lake,1995,2797,1043,2696
Largemouth bass,Spirit Lake,1996,4489,1561,4227
Largemouth bass,Spirit Lake,1997,13012,3250,10095
Northern pike,Spirit Lake,1995,1748,1098,4255
Northern pike,Spirit Lake,1996,3072,1943,7305
Northern pike,Spirit Lake,1997,2280,1846,7462
Smallmouth bass,Spirit Lake,1995,6056,871,2518
Smallmouth bass,Spirit Lake,1996,6711,1119,2868
Smallmouth bass,Spirit Lake,1997,8137,1329,3590
Walleye,Spirit Lake,1995,106873,16620,105802
Walleye,Spirit Lake,1996,561757,57227,464815
Walleye,Spirit Lake,1997,774766,101360,594567
Yellow perch,Spirit Lake,1995,206009,13256,35603
Yellow perch,Spirit Lake,1996,720653,50519,152229
Yellow perch,Spirit Lake,1997,298991,18237,45249
Burbot,Lake Michigan,1988,3155000,1056000,3476000
Chinook salmon,Lake Michigan,1978,7670000,NA,37000000
Chinook salmon,Lake Michigan,1979,8444000,NA,39000000
Chinook salmon,Lake Michigan,1980,9817000,NA,45000000
Chinook salmon,Lake Michigan,1981,9111000,NA,43500000
Chinook salmon,Lake Michigan,1982,9911000,NA,53500000
Chinook salmon,Lake Michigan,1983,10450000,NA,55000000
Chinook salmon,Lake Michigan,1984,11673000,NA,43500000
Chinook salmon,Lake Michigan,1985,11044000,NA,49000000
Chinook salmon,Lake Michigan,1986,10326000,NA,45000000
Chinook salmon,Lake Michigan,1987,9856000,NA,55000000
Chinook salmon,Lake Michigan,1988,9900000,NA,44000000
Coho salmon,Lake Michigan,1978,3591000,NA,18000000
Coho salmon,Lake Michigan,1979,4837000,NA,20000000
Coho salmon,Lake Michigan,1980,4142000,NA,20000000
Coho salmon,Lake Michigan,1981,3366000,NA,16500000
Coho salmon,Lake Michigan,1982,2961000,NA,15500000
Coho salmon,Lake Michigan,1983,3055000,NA,15700000
Coho salmon,Lake Michigan,1984,3497000,NA,14000000
Coho salmon,Lake Michigan,1985,3534000,NA,17000000
Coho salmon,Lake Michigan,1986,3024000,NA,13500000
Coho salmon,Lake Michigan,1987,2985000,NA,15500000
Coho salmon,Lake Michigan,1988,3302000,NA,14000000
Lake trout,Lake Michigan,1978,5193000,NA,7400000
Lake trout,Lake Michigan,1979,5210000,NA,7400000
Lake trout,Lake Michigan,1980,5234000,NA,7400000
Lake trout,Lake Michigan,1981,4817000,NA,7400000
Lake trout,Lake Michigan,1982,4859000,NA,7350000
Lake trout,Lake Michigan,1983,4531000,NA,7000000
Lake trout,Lake Michigan,1984,3291000,NA,6000000
Lake trout,Lake Michigan,1985,3702000,NA,6000000
Lake trout,Lake Michigan,1986,4292000,NA,5500000
Lake trout,Lake Michigan,1987,3875000,NA,5400000
Lake trout,Lake Michigan,1988,3422000,NA,6000000
