csm,fh,mfr
control,unmanip,1
control,unmanip,13
control,unmanip,11
control,unmanip,3
control,unmanip,24
control,unmanip,12
control,unmanip,26
control,unmanip,36
control,unmanip,17
control,unmanip,19
control,unmanip,29
control,unmanip,22
control,unmanip,31
control,unmanip,16
control,reduced,38
control,reduced,19
control,reduced,29
control,reduced,21
control,reduced,27
control,reduced,27
control,reduced,27
control,reduced,12
enlarged,unmanip,14
enlarged,unmanip,38
enlarged,unmanip,16
enlarged,unmanip,33
enlarged,unmanip,23
enlarged,unmanip,24
enlarged,unmanip,25
enlarged,unmanip,15
enlarged,unmanip,10
enlarged,unmanip,12
enlarged,unmanip,13
enlarged,unmanip,1
enlarged,unmanip,8
enlarged,unmanip,17
enlarged,reduced,13
enlarged,reduced,13
enlarged,reduced,18
enlarged,reduced,14
enlarged,reduced,20
enlarged,reduced,16
enlarged,reduced,17
enlarged,reduced,26
enlarged,reduced,30
enlarged,reduced,18
enlarged,reduced,29
enlarged,reduced,17
reduced,unmanip,12
reduced,unmanip,1
reduced,unmanip,10
reduced,unmanip,27
reduced,unmanip,12
reduced,unmanip,7
reduced,unmanip,1
reduced,unmanip,17
reduced,unmanip,1
reduced,unmanip,5
reduced,unmanip,15
reduced,unmanip,25
reduced,unmanip,8
reduced,reduced,12
reduced,reduced,22
reduced,reduced,11
reduced,reduced,21
reduced,reduced,20
reduced,reduced,16
reduced,reduced,27
reduced,reduced,27
reduced,reduced,14
reduced,reduced,24
reduced,reduced,4
reduced,reduced,6
reduced,reduced,1
