tx,pre_tx_num,post_tx_num
No Disturbance,150,151
Large Wave,210,91
Cyclonic Storm,400,71
No Disturbance,425,251
Large Wave,280,201
Cyclonic Storm,220,2
No Disturbance,520,281
Large Wave,210,171
Cyclonic Storm,420,61
No Disturbance,190,151
Large Wave,390,231
Cyclonic Storm,150,1
No Disturbance,300,131
Large Wave,220,101
Cyclonic Storm,160,13
No Disturbance,270,101
Large Wave,360,85
Cyclonic Storm,260,16
No Disturbance,210,76
Large Wave,180,101
Cyclonic Storm,220,36
No Disturbance,500,211
Large Wave,220,71
Cyclonic Storm,280,31
No Disturbance,280,251
Large Wave,270,171
Cyclonic Storm,140,56
No Disturbance,400,301
Large Wave,440,241
Cyclonic Storm,360,21
No Disturbance,250,191
Large Wave,200,76
Cyclonic Storm,210,12
No Disturbance,240,91
Large Wave,220,111
Cyclonic Storm,200,11
No Disturbance,210,71
Large Wave,210,71
Cyclonic Storm,100,1
No Disturbance,170,131
Large Wave,110,26
Cyclonic Storm,100,16
No Disturbance,80,61
Large Wave,110,46
Cyclonic Storm,130,1
