year,icemelt
1935,153
1936,152
1937,143
1938,149
1939,135
1940,130
1941,158
1942,146
1943,142
1944,148
1945,139
1946,140
1947,142
1948,155
1949,150
1950,138
1951,148
1952,166
1953,129
1954,153
1955,135
1956,146
1957,172
1958,151
1959,136
1961,150
1962,136
1963,133
1964,142
1965,153
1966,144
1967,133
1968,150
1969,141
1970,147
1971,141
1972,138
1973,147
1974,136
1975,157
1976,116
1977,136
1978,155
1979,152
1980,159
1981,119
1982,152
1983,160
1984,156
1985,145
1986,149
1987,132
1988,136
1989,132
1990,138
1991,142
1992,124
1993,156
1994,141
1995,141
1996,170
1997,152
1998,140
1999,145
2000,131
2001,115
2002,134
2003,142
2004,129
2005,147
2006,132
2007,121
2008,153
2009,131
2010,132
2011,158
2012,114
2013,135
2014,146
2015,127
2016,139
2017,144
2018,125
